Le Basi,,Presente,,,,,,Perfetto,,Gerundio,Imperfetto,,,,,,Passato Remoto,,,,,,Futuro,,,,,,Congiuntivo (Presente),,,,,,Congiuntivo (Imperfetto),,,,,,Condizionale,,,,,,Imperativo,,,,,Values,,,,,
Verbi (inf.),Significato,io,tu,lui/lei,noi,voi,loro,Ausiliario,Participio,Tutto,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,tu,lui/lei,noi,voi,loro,conj.,PR regolare,futuro regolare,part. regolare,Fondamentale,Reverso
abrogare,"to repeal, abrogate",abrogo,abroghi,abroga,abroghiamo,abrogate,abrogano,avere,abrogato,abrogando,abrogavo,abrogavi,abrogava,abrogavamo,abrogavate,abrogavano,abrogai,abrogasti,abrogò,abrogammo,abrogaste,abrogarono,abrogherò,abrogherai,abrogherà,abrogheremo,abrogherete,abrogheranno,abroghi,abroghi,abroghi,abroghiamo,abroghiate,abroghino,abrogassi,abrogassi,abrogasse,abrogassimo,abrogaste,abrogassero,abrogherei,abrogheresti,abrogherebbe,abrogheremmo,abroghereste,abrogherebbero,abroga,abroghi,abroghiamo,abrogate,abroghino,are,Y,Y,Y,N,869
abusare,to abuse,abuso,abusi,abusa,abusiamo,abusate,abusano,avere,abusato,abusando,abusavo,abusavi,abusava,abusavamo,abusavate,abusavano,abusai,abusasti,abusò,abusammo,abusaste,abusarono,abuserò,abuserai,abuserà,abuseremo,abuserete,abuseranno,abusi,abusi,abusi,abusiamo,abusiate,abusino,abusassi,abusassi,abusasse,abusassimo,abusaste,abusassero,abuserei,abuseresti,abuserebbe,abuseremmo,abusereste,abuserebbero,abusa,abusi,abusiamo,abusate,abusino,are,Y,Y,Y,N,1034
accadere,to happen (formal),accado,accadi,accade,accadiamo,accadete,accadono,essere,accaduto,accendendo,accadevo,accadevi,accadeva,accadevamo,accadavate,accadavano,accaddi,accadesti,accadde,accademmo,accadeste,accaddero,accadrò,accadrai,accadrà,accadremo,accadrete,accadranno,accada,accada,accada,accadiamo,accadiate,accadano,accadessi,accadessi,accadesse,accadessimo,accadeste,accadessero,accadrei,accadresti,accadrebbe,accadremmo,accadreste,accadrebbero,accadi,accada,accadiamo,accadate,accadano,ere,N,N,Y,Y,292
accantonare,to set aside,accantono,accantoni,accantona,accantoniamo,accantonate,accantonano,avere,accantonato,accantonando,accantonavo,accantonavi,accantonava,accantonavamo,accantonavate,accantonavano,accantonai,accantonasti,accantonò,accantonammo,accantonaste,accantonarono,accantonerò,accantonerai,accantonerà,accantoneremo,accantonerete,accantoneranno,accantoni,accantoni,accantoni,accantoniamo,accantoniate,accantonino,accantonassi,accantonassi,accantonasse,accantonassimo,accantonaste,accantonassero,accantonerei,accantoneresti,accantonerebbe,accantoneremmo,accantonereste,accantonerebbero,accantona,accantoni,accantoniamo,accantonate,accantonino,are,Y,Y,Y,N,1730
accarezzare,to caress,accarezzo,accarezzi,accarezza,accarezziamo,accarezzate,accarezzano,avere,accarezzato,accarezzando,accarezzavo,accarezzavi,accarezzava,accarezzavamo,accarezzavate,accarezzavano,accarezzai,accarezzasti,accarezzò,accarezzammo,accarezzaste,accarezzarono,accarezzerò,accarezzerai,accarezzerà,accarezzeremo,accarezzerete,accarezzeranno,accarezzi,accarezzi,accarezzi,accarezziamo,accarezziate,accarezzino,accarezzassi,accarezzassi,accarezzasse,accarezzassimo,accarezzaste,accarezzassero,accarezzerei,accarezzeresti,accarezzerebbe,accarezzeremmo,accarezzereste,accarezzerebbero,accarezza,accarezzi,accarezziamo,accarezzate,accarezzino,are,Y,Y,Y,N,1151
accattivare,to captivate,accattivo,accattivi,accattiva,accattiviamo,accattivate,accattivano,avere,accattivato,accattivando,accattivavo,accattivavi,accattiviva,accattivavamo,accattivavate,accattivavano,accattivai,accattivasti,accattivò,accattivammo,accattivaste,accattivarono,accattiverò,accattiverai,accattiverà,accattiveremo,accattiverete,accattiveranno,accattivi,accattivi,accattivi,accattiviamo,accattiviate,accattivino,accattivassi,accattivassi,accattivasse,accattivassimo,accattivaste,accattivassero,accattiverei,accattiveresti,accattiverebbe,accattiveremmo,accattivereste,accattiverebbero,accattiva,accattivi,accattiviamo,accattivate,accattivino,are,Y,Y,Y,N,N
accavallare,"to overlap, cross",accavallo,accavalli,accavalla,accavalliamo,accavallate,accavallano,avere,accavallato,accavallando,accavallavo,accavallavi,accavalliva,accavallavamo,accavallavate,accavallavano,accavallai,accavallasti,accavallò,accavallammo,accavallaste,accavallarono,accavallerò,accavallerai,accavallerà,accavalleremo,accavallerete,accavalleranno,accavalli,accavalli,accavalli,accavalliamo,accavalliate,accavallino,accavallassi,accavallassi,accavallasse,accavallassimo,accavallaste,accavallassero,accavallerei,accavalleresti,accavallerebbe,accavalleremmo,accavallereste,accavallerebbero,accavalla,accavalli,accavalliamo,accavallate,accavallino,are,Y,Y,Y,N,N
accecare,to blind,acceco,accechi,acceca,accechiamo,accecate,accecano,avere,accecato,accecando,accecavo,accecavi,accecava,accecavamo,accecavate,accecavano,accecai,accecasti,accecò,accecammo,accecaste,accecarono,accecherò,accecherai,accecherà,accecheremo,accecherete,accecheranno,accechi,accechi,accechi,accechiamo,accechiate,accechino,accecassi,accecassi,accecasse,accecassimo,accecaste,accecassero,accecherei,accecheresti,accecherebbe,accecheremmo,accechereste,accecherebbero,acceca,accechi,accechiamo,accecate,accechino,are,Y,Y,Y,N,1793
accedere,to access,accedo,accedi,accede,accediamo,accedete,accedono,avere/essere,acceduto,accedendo,accedevo,accedevi,accedeva,accedevamo,accedevate,accedevano,accedetti,accedesti,accedette,accedemmo,accedeste,accedettero,accederò,accederai,accederà,accederemo,accederete,accederanno,acceda,acceda,acceda,accediamo,accediate,accedano,accedessi,accedessi,accedesse,accedessimo,accedeste,accedessero,accederei,accederesti,accederebbe,accederemmo,accedereste,accederebbero,accedi,acceda,accediamo,accedete,accedano,ere,N,Y,Y,N,124
accelerare,to accelerate,accelero,acceleri,accelera,acceleriamo,accelerate,accelerano,avere,accelerato,accelerando,acceleravo,acceleravi,accelerava,acceleravamo,acceleravate,acceleravano,accelerai,accelerasti,accelerò,accelerammo,acceleraste,accelerarono,accelererò,accelererai,accelererà,accelereremo,accelererete,accelereranno,acceleri,acceleri,acceleri,acceleriamo,acceleriate,accelerino,accelerassi,accelerassi,accelerasse,accelerassimo,acceleraste,accelerassero,accelererei,accelereresti,accelererebbe,accelereremmo,accelerereste,accelererebbero,accelera,acceleri,acceleriamo,accelerate,accelerino,are,Y,Y,Y,N,299
